Stat_ID;Easting_X;Norting_Y;Altitude;Longitude;Latitude;catArea;flowAcc;rel_err[%];row;column;Bl_ID;Start_Date;End_Date;State;data_avail;nxtGage;Station_Name;River;dem_mean;dem_std;dem_min;dem_max;LC-forest;LC-impervious;LC-permeable;WB_from_year;WB_to_year;Qobs[mm_a-1];Precip[mm_a-1];PET[mm_a-1];NSE-Q_v4.3_d;Qsim[mm_a-1];AET[mm_a-1]
9316475;4298150;5384850;320.57;9.27;48.57;161;170.7;6.01;7352;2602;20;1921-11-01;1996-10-31;DE;99.54%;-999;RIEDERICH;ERMS;614.30;151.82;313.38;867.50;45.12;9.24;45.63;1955;1995;560.73;955.33;749.38;0.56;403.75;558.38
9316476;4307750;5396150;-99;9.39;48.67;178.7;191.7;7.28;7239;2698;20;1950-11-01;1994-05-31;DE;99.95%;-999;OBERENSINGEN-;AICH;521.71;163.64;264.77;870.72;26.23;12.86;60.91;1955;1993;204.5;963.37;736.97;-0.21;430.92;540.38
9316479;4303350;5415950;218.15;9.32;48.85;569;568.6;0.07;7041;2654;20;1922-11-01;1996-10-31;DE;99.43%;-999;NEUSTADT;REMS;398.48;100.02;221.19;779.53;38.39;14.15;47.47;1955;1995;383.35;951.98;776.24;0.66;386.52;569.44
9316480;4314850;5431150;257.3;9.47;48.99;180;180.6;0.35;6889;2769;19;1936-11-01;1996-10-31;DE;98.64%;-999;OPPENWEILER;MURR;424.79;67.52;256.63;586.35;62.56;3.86;33.59;1955;1995;407.39;1033.3;772.96;0.6;459.39;573.61
9316483;4260350;5422950;244.55;8.73;48.9;1476;1479.4;0.23;6971;2224;19;1950-11-01;1988-10-31;DE;99.11%;-999;PFORZHEIM;ENZ;568.17;125.75;243.01;987.63;52.82;9.13;38.05;1955;1987;374.27;1009.47;746.37;0.79;461.49;554.57
9316485;4298850;5453950;168.4;9.24;49.19;109.6;108.2;1.27;6661;2609;19;1931-11-01;1997-12-31;DE;97.60%;-999;HAUSEN;ZABER;247.93;60.16;153.94;506.07;27.76;12.05;60.19;1955;1997;204.99;832.01;790.83;0.19;274.77;558.37
9316487;4257550;5416450;293.76;8.7;48.84;705;708.3;0.47;7036;2196;20;1931-11-01;1992-12-31;DE;96.68%;-999;UNTERREICHENBACH;NAGOLD;585.25;91.69;296.82;888.15;51.75;6.58;41.68;1955;1992;370.84;1013.55;750.34;0.76;464.48;560.59
9316489;4284550;5426550;197.72;9.06;48.94;194;194.8;0.43;6935;2466;19;1943-11-01;1979-10-31;DE;98.09%;-999;UNTERRIEXINGEN;GLEMS;372.66;63.26;195.06;542.60;27.08;18.91;54.01;1955;1978;151.16;720.93;769.57;-0.43;178.12;541.05
9316494;4315450;5458850;183.99;9.46;49.24;152;146.3;3.72;6612;2775;19;1941-11-01;1996-10-31;DE;100.00%;-999;OHRNBERG;OHRN;340.94;85.22;188.67;501.09;33.00;8.16;58.84;1955;1995;336.99;897.66;775.65;0.55;345.86;551.24
9316495;4268550;5468350;143.4;8.84;49.31;259.5;257.4;0.82;6517;2306;19;1950-11-01;1997-12-31;DE;99.99%;-999;MECKESHEIM;ELSENZ;224.02;31.41;140.94;332.94;19.65;9.63;70.72;1955;1997;310.45;805.78;791.47;0.3;254.17;552.39
9316503;4336750;5429450;-99;9.77;49;141.4;134.6;4.79;6906;2988;19;1941-11-01;2007-10-31;DE;98.74%;-999;NEUENSTADT;BRETTACH;453.58;47.54;330.30;583.72;54.34;3.68;41.98;1955;2006;323.73;1012.95;771.05;0.41;448.33;565.19
9316505;4361550;5432750;-99;10.12;49.02;245.7;267;8.69;6873;3236;28;1921-11-01;2007-10-31;DE;99.91%;-999;ABTSGMUEND;LEIN;499.69;39.22;418.95;719.27;33.48;5.13;61.39;1955;2006;411.81;853.22;780.07;0.47;299.66;558.29
9316509;4248495.92;5338978.41;570.35;8.62;48.14;220;219.6;0.2;7811;2105;20;1962-11-01;1982-10-31;DE;100.00%;-999;BUEHLINGEN;ESCHACH;708.94;47.29;570.61;895.41;34.65;5.52;59.83;1963;1981;400.57;1045.67;739.38;0.65;508.38;553.31
9316515;4269650;5365550;417.78;8.89;48.39;131.5;123.8;5.88;7545;2317;20;1936-11-01;1996-10-31;DE;100.00%;-999;RANGENDINGEN;STARZEL;639.24;134.91;414.31;953.01;45.35;8.52;46.12;1955;1995;322.84;884.05;761.26;0.45;343.98;559.82
9316520;4339150;5390250;-99;9.82;48.63;259.7;252.6;2.75;7298;3012;29;1950-11-01;1993-12-31;DE;99.08%;-999;UNTERSCHEFFACH;BUEHLER;662.65;87.63;411.56;864.28;39.00;5.81;55.19;1955;1993;333.3;1027.17;696.1;0.22;517.57;527.71
9316522;4313050;5886250;11.9;9.21;53.08;955;914.3;4.26;2338;2751;15;1960-11-01;2005-12-31;DE;100.00%;-999;HELLWEGE-SCHL.-V;WUMME;44.75;18.74;12.25;169.15;18.84;4.90;76.26;1961;2005;336.92;774.7;701.73;0.69;280.44;494.32
9316523;4334950;5899350;26.89;9.53;53.2;239;231.7;3.05;2207;2970;15;1968-11-01;1996-12-31;DE;100.00%;-999;LAUENBRUCK-B-75;WUMME;53.17;19.93;27.24;169.15;21.09;3.14;75.77;1969;1996;305.67;744.2;695.71;0.69;263.63;482.82
9316524;4311550;5915950;7.21;9.17;53.34;604;626.2;3.68;2041;2736;15;1960-11-01;2005-12-31;DE;100.00%;-999;ROCKSTEDT;OSTE;32.03;8.51;7.98;96.72;10.97;4.42;84.61;1961;2005;316.68;777.11;694.36;0.69;281.89;495.36
9316526;4348850;5864150;41.38;9.75;52.89;285;286.3;0.45;2559;3109;24;1960-11-01;1996-12-31;DE;100.00%;-999;BROCK;BOHME;76.55;15.06;43.17;145.20;42.41;3.78;53.81;1961;1996;357.93;792.11;702.6;0.35;287.84;506.17
9316529;4411058.51;5597642.37;-999;10.746;50.509;114;122;7.02;5224;3731;27;1962-11-01;2006-10-31;DE;100.00%;-999;SCHLEUSINGEN;NAHE-(THUERINGEN);591.05;122.97;369.32;942.86;74.11;6.49;19.40;1963;2005;569.84;1010.82;653.63;0.74;510.49;497.95
9316534;4358828.85;5695728.83;-999;9.972;51.38;275;273.9;0.41;4243;3209;26;1959-11-01;2006-10-31;DE;100.00%;-999;ARENSHAUSEN;LEINE;351.38;66.81;199.14;514.98;28.31;6.01;65.68;1960;2005;305.82;738.05;718.52;0.68;239.52;502.02
9324001;4702150;5685550;-99;14.89;51.27;135;135.2;0.16;4345;6642;52;1962-11-01;1996-10-31;DE;100.00%;-999;SAERICHEN;WEISSER-SCHOEPS;241.82;40.75;171.72;410.40;10.30;8.98;80.72;1963;1995;193.82;682.04;725.64;0.46;188.15;491.6
9324002;4706750;5662750;-99;14.95;51.07;162;163.4;0.89;4573;6688;52;1964-11-01;1996-10-31;DE;100.00%;-999;TAUCHRITZ;PLIESSNITZ;304.61;43.30;202.46;570.36;21.00;5.60;73.39;1965;1995;228.79;699;709.82;0.39;203.89;494.13
